ts,symbol,bid_sz,bid_px,ask_px,ask_sz
2019-01-02 12:15:39.107816719,EMAG,0,0.0,0.0,0
2019-01-02 12:15:39.107827470,EMF,0,0.0,0.0,0
2019-01-02 12:15:39.107850190,EMMS,0,0.0,0.0,0
2019-01-02 12:15:39.107874570,ENBA,0,0.0,0.0,0
2019-01-02 12:15:39.107897436,ENOR,0,0.0,0.0,0
2019-01-02 12:15:39.107911252,ENVA,0,0.0,0.0,0
2019-01-02 12:15:39.107935062,EPAY,0,0.0,0.0,0
2019-01-02 12:15:39.107945397,EPR-G,0,0.0,0.0,0
2019-01-02 12:15:39.107971422,EQH,0,0.0,0.0,0
2019-01-02 12:15:39.107993890,ERA,0,0.0,0.0,0
2019-01-02 12:15:39.108004482,ERX,0,0.0,0.0,0
2019-01-02 12:15:39.108036038,ESGG,0,0.0,0.0,0
2019-01-02 12:15:39.108051360,ESML,0,0.0,0.0,0
2019-01-02 12:15:39.108073247,ESTE,0,0.0,0.0,0
2019-01-02 12:15:39.108101791,ETN,0,0.0,0.0,0
2019-01-02 12:15:39.108111315,EUDG,0,0.0,0.0,0
2019-01-02 12:15:39.108134178,EUXL,0,0.0,0.0,0
2019-01-02 12:15:39.108157122,EVH,0,0.0,0.0,0
2019-01-02 12:15:39.108178458,EVOP,0,0.0,0.0,0
2019-01-02 12:15:39.108190522,EWBC,0,0.0,0.0,0
2019-01-02 12:15:39.108218001,EWMC,0,0.0,0.0,0
2019-01-02 12:15:39.108238896,EWX,0,0.0,0.0,0
2019-01-02 12:15:39.108253010,EXLS,0,0.0,0.0,0
2019-01-02 12:15:39.108276648,EYEGW,0,0.0,0.0,0
2019-01-02 12:15:39.108303248,FAAR,0,0.0,0.0,0
2019-01-02 12:15:39.108313144,FAS,0,0.0,0.0,0
2019-01-02 12:15:39.108337317,FBIZ,0,0.0,0.0,0
2019-01-02 12:15:39.108349867,FCAL,0,0.0,0.0,0
2019-01-02 12:15:39.108372465,FCN,0,0.0,0.0,0
2019-01-02 12:15:39.108399254,FDD,0,0.0,0.0,0
2019-01-02 12:15:39.108408752,FDRR,0,0.0,0.0,0
2019-01-02 12:15:39.108442045,FELP,0,0.0,0.0,0
2019-01-02 12:15:39.108453687,FEUZ,0,0.0,0.0,0
2019-01-02 12:15:39.108477671,FFIC,0,0.0,0.0,0
2019-01-02 12:15:39.108504549,FGB,0,0.0,0.0,0
2019-01-02 12:15:39.108515225,FIBR,0,0.0,0.0,0
2019-01-02 12:15:39.108540879,FINZ,0,0.0,0.0,0
2019-01-02 12:15:39.108566682,FIX,0,0.0,0.0,0
2019-01-02 12:15:39.108574235,FLBL,0,0.0,0.0,0
2019-01-02 12:15:39.108598854,FLFR,0,0.0,0.0,0
2019-01-02 12:15:39.108624685,FLJH,0,0.0,0.0,0
2019-01-02 12:15:39.108636187,FLN,0,0.0,0.0,0
2019-01-02 12:15:39.108658642,FLRN,0,0.0,0.0,0
2019-01-02 12:15:39.108682904,FLY,0,0.0,0.0,0
2019-01-02 12:15:39.108693374,FMHI,0,0.0,0.0,0
2019-01-02 12:15:39.108718273,FND,0,0.0,0.0,0
2019-01-02 12:15:39.108742143,FNHC,0,0.0,0.0,0
2019-01-02 12:15:39.108778023,FOE,0,0.0,0.0,0
2019-01-02 12:15:39.108784417,FOX,0,0.0,0.0,0
2019-01-02 12:15:39.108813202,FPI,0,0.0,0.0,0
2019-01-02 12:15:39.108828354,FRBA,0,0.0,0.0,0
2019-01-02 12:15:39.108849598,FRLG,0,0.0,0.0,0
2019-01-02 12:15:39.108872921,FSACW,0,0.0,0.0,0
2019-01-02 12:15:39.108888124,FSP,0,0.0,0.0,0
2019-01-02 12:15:39.108908246,FTCS,0,0.0,0.0,0
2019-01-02 12:15:39.108949125,FTLS,0,0.0,0.0,0
2019-01-02 12:15:39.108960703,FTVA,0,0.0,0.0,0
2019-01-02 12:15:39.108990515,FUN,0,0.0,0.0,0
2019-01-02 12:15:39.109003937,FVL,0,0.0,0.0,0
2019-01-02 12:15:39.109030366,FXE,0,0.0,0.0,0
2019-01-02 12:15:39.109056108,FXY,0,0.0,0.0,0
2019-01-02 12:15:39.109069959,GABC,0,0.0,0.0,0
2019-01-02 12:15:39.109093442,GASS,0,0.0,0.0,0
2019-01-02 12:15:39.109103616,GBR,0,0.0,0.0,0
2019-01-02 12:15:39.109131059,GCVRZ,0,0.0,0.0,0
2019-01-02 12:15:39.109153788,GDV,0,0.0,0.0,0
2019-01-02 12:15:39.109165140,GECCM,0,0.0,0.0,0
2019-01-02 12:15:39.109188916,GERN,0,0.0,0.0,0
2019-01-02 12:15:39.109214068,GGAL,0,0.0,0.0,0
2019-01-02 12:15:39.109224273,GH,0,0.0,0.0,0
2019-01-02 12:15:39.109251657,GIG+,0,0.0,0.0,0
2019-01-02 12:15:39.109274347,GJO,0,0.0,0.0,0
2019-01-02 12:15:39.109288136,GLADN,0,0.0,0.0,0
2019-01-02 12:15:39.109311431,GLMD,0,0.0,0.0,0
2019-01-02 12:15:39.109335878,GLPG,0,0.0,0.0,0
2019-01-02 12:15:39.109349012,GM,0,0.0,0.0,0
2019-01-02 12:15:39.109372153,GMS,0,0.0,0.0,0
2019-01-02 12:15:39.109386079,GNMX,0,0.0,0.0,0
2019-01-02 12:15:39.109418080,GOEX,0,0.0,0.0,0
2019-01-02 12:15:39.109435388,GOOS,0,0.0,0.0,0
2019-01-02 12:15:39.109454350,GPMT,0,0.0,0.0,0
2019-01-02 12:15:39.109479800,GRAF=,0,0.0,0.0,0
2019-01-02 12:15:39.109492327,GRMN,0,0.0,0.0,0
2019-01-02 12:15:39.109515590,GRVY,0,0.0,0.0,0
2019-01-02 12:15:39.109542257,GSAH+,0,0.0,0.0,0
2019-01-02 12:15:39.109552521,GSIE,0,0.0,0.0,0
2019-01-02 12:15:39.109575725,GSV,0,0.0,0.0,0
2019-01-02 12:15:39.109590826,GTS,0,0.0,0.0,0
2019-01-02 12:15:39.109612056,GUSH,0,0.0,0.0,0
2019-01-02 12:15:39.109633791,GWR,0,0.0,0.0,0
2019-01-02 12:15:39.109660060,H,0,0.0,0.0,0
2019-01-02 12:15:39.109670278,HAS,0,0.0,0.0,0
2019-01-02 12:15:39.109694834,HBM,0,0.0,0.0,0
2019-01-02 12:15:39.109707165,HCFT,0,0.0,0.0,0
2019-01-02 12:15:39.109729739,HDB,0,0.0,0.0,0
2019-01-02 12:15:39.109759078,HEB,0,0.0,0.0,0
2019-01-02 12:15:39.109766762,HES-A,0,0.0,0.0,0
2019-01-02 12:15:39.109788666,HFBC,0,0.0,0.0,0
2019-01-02 12:15:39.109811105,HGSH,0,0.0,0.0,0
2019-01-02 12:15:39.109835719,HII,0,0.0,0.0,0
2019-01-02 12:15:39.109849796,HJV,0,0.0,0.0,0
2019-01-02 12:15:39.109872421,HLX,0,0.0,0.0,0
2019-01-02 12:15:39.109894432,HMTA,0,0.0,0.0,0
2019-01-02 12:15:39.109908616,HOLI,0,0.0,0.0,0
2019-01-02 12:15:39.109938814,HPE,0,0.0,0.0,0
2019-01-02 12:15:39.109949633,HR,0,0.0,0.0,0
2019-01-02 12:15:39.109976653,HSCZ,0,0.0,0.0,0
2019-01-02 12:15:39.109998691,HT-C,0,0.0,0.0,0
2019-01-02 12:15:39.110013000,HTH,0,0.0,0.0,0
2019-01-02 12:15:39.110040893,HUN,0,0.0,0.0,0
2019-01-02 12:15:39.110056299,HWBK,0,0.0,0.0,0
2019-01-02 12:15:39.110070001,HYDB,0,0.0,0.0,0
2019-01-02 12:15:39.110094104,HYLS,0,0.0,0.0,0
2019-01-02 12:15:39.110119379,HZO,0,0.0,0.0,0
2019-01-02 12:15:39.110129617,IBA,0,0.0,0.0,0
2019-01-02 12:15:39.110151811,IBDP,0,0.0,0.0,0
2019-01-02 12:15:39.110176186,IBMI,0,0.0,0.0,0
2019-01-02 12:15:39.110177756,IBMJ,0,0.0,0.0,0
