ts,symbol,size,price,trade_id
2019-01-02 13:00:00.780979196,VGT,5,163.93,1176984
2019-01-02 13:00:06.220478746,DWT,100,16.96,1186037
2019-01-02 13:00:37.694849963,ZVZZT,975,10.015,1278324
2019-01-02 13:00:37.694849963,ZVZZT,1025,10.01,1278329
2019-01-02 13:00:44.109952128,PPLT,50,74.94,1283716
2019-01-02 13:03:09.043807934,KOLD,100,21.43,1408269
2019-01-02 13:07:46.263531920,UGAZ,40,39.17,1608050
2019-01-02 13:13:56.594734731,DIS,100,108.2,1823816
2019-01-02 13:15:07.300039382,USO,3000,9.45,1864379
2019-01-02 13:15:12.617730040,GLD,200,121.53,1869726
2019-01-02 13:15:23.104928107,FXI,26,38.34,1881194
2019-01-02 13:18:19.054926770,AAPL,100,155.0,2002767
2019-01-02 13:18:19.054926770,AAPL,400,155.0,2002772
2019-01-02 13:18:25.053899583,AAPL,100,155.0,2008074
2019-01-02 13:18:25.053899583,AAPL,200,155.0,2008080
2019-01-02 13:21:05.895451620,FXI,26,38.31,2139298
2019-01-02 13:24:29.913003055,SOXX,100,153.39,2295169
2019-01-02 13:30:16.930013904,EEM,100,38.53,2650622
2019-01-02 13:33:47.410078608,GLD,200,121.52,2833751
2019-01-02 13:37:28.313838292,FCX,100,10.03,3003085
2019-01-02 13:43:27.010192435,AAPL,10,154.55,3359578
2019-01-02 13:44:20.664198965,SPY,40,245.72,3401405
2019-01-02 13:46:26.219199913,SPY,15,245.75,3528055
2019-01-02 13:47:14.531182176,EWZ,100,38.75,3573902
2019-01-02 13:47:14.533174323,EWZ,100,38.75,3573935
2019-01-02 13:47:14.534118139,EWZ,100,38.75,3573961
2019-01-02 13:47:14.537374323,EWZ,100,38.75,3573989
2019-01-02 13:47:14.538416229,EWZ,100,38.75,3573999
2019-01-02 13:49:14.838460224,TVIX,100,76.47,3720509
2019-01-02 13:49:27.048805246,GLD,326,121.41,3739131
2019-01-02 13:49:33.376885132,GUSH,1,7.22,3750549
2019-01-02 13:49:54.564591140,UWT,100,8.25,3791651
2019-01-02 13:50:28.242146725,DIA,200,229.02,3845339
2019-01-02 13:50:28.258743081,DIA,300,229.03,3845386
2019-01-02 13:50:30.219839667,DIA,300,229.025,3848772
2019-01-02 13:50:30.237863154,DIA,200,229.04,3849598
2019-01-02 13:51:27.294706286,NUGT,100,17.51,3924197
2019-01-02 13:53:05.315873961,USO,100,9.42,4016916
2019-01-02 13:55:27.816579160,SPY,100,245.75,4195132
2019-01-02 13:56:36.016518411,SPY,50,245.74,4282622
2019-01-02 13:57:48.855085488,QQQ,200,150.59,4377079
2019-01-02 14:00:41.889337766,QQQ,100,150.67,4619972
2019-01-02 14:00:44.798579976,QQQ,200,150.66,4628550
2019-01-02 14:00:44.800369178,QQQ,100,150.66,4628565
2019-01-02 14:00:53.178527808,QQQ,400,150.7,4656716
2019-01-02 14:00:53.180100040,QQQ,400,150.7,4656735
2019-01-02 14:00:53.181606432,QQQ,200,150.7,4656751
2019-01-02 14:00:55.963634069,QQQ,300,150.75,4671197
2019-01-02 14:00:55.965133145,QQQ,200,150.75,4671212
2019-01-02 14:00:55.968888392,QQQ,400,150.75,4671242
2019-01-02 14:00:56.412749428,QQQ,200,150.76,4675307
2019-01-02 14:00:56.414493920,QQQ,300,150.76,4675322
2019-01-02 14:00:56.416198805,QQQ,400,150.76,4675340
2019-01-02 14:00:56.417768026,QQQ,100,150.76,4675356
2019-01-02 14:01:01.037794470,DGAZ,20,124.06,4694022
2019-01-02 14:02:17.607144807,QQQ,300,150.76,4874392
2019-01-02 14:02:17.608863683,QQQ,100,150.76,4874407
2019-01-02 14:02:17.766948005,TLT,27,121.75,4874475
2019-01-02 14:02:33.026506886,QQQ,400,150.79,4911882
2019-01-02 14:02:33.028313491,QQQ,300,150.79,4911897
2019-01-02 14:02:33.029797905,QQQ,200,150.79,4911913
2019-01-02 14:05:05.734828035,VOO,40,226.11,5134922
2019-01-02 14:05:05.734927271,VOO,38,226.11,5134943
2019-01-02 14:05:05.734945199,VOO,40,226.11,5134957
2019-01-02 14:05:05.735125073,VOO,50,226.11,5134970
2019-01-02 14:05:05.737727509,VOO,32,226.11,5135015
2019-01-02 14:06:39.781674584,QQQ,100,150.76,5246606
2019-01-02 14:06:41.398550310,QQQ,100,150.76,5247515
2019-01-02 14:07:15.562611598,XOP,100,25.91,5300620
2019-01-02 14:08:07.683049296,QQQ,200,150.82,5361023
2019-01-02 14:08:07.684962906,QQQ,400,150.82,5361038
2019-01-02 14:08:07.686604591,QQQ,400,150.82,5361054
2019-01-02 14:08:11.928186488,QQQ,200,150.83,5366318
2019-01-02 14:08:13.639202007,QQQ,300,150.82,5368116
2019-01-02 14:08:13.640784719,QQQ,300,150.82,5368131
2019-01-02 14:08:13.642358550,QQQ,200,150.82,5368148
2019-01-02 14:08:13.643953079,QQQ,200,150.82,5368164
2019-01-02 14:08:38.662796854,VOO,25,226.12,5402092
2019-01-02 14:08:38.662805321,VOO,20,226.12,5402115
2019-01-02 14:08:38.662927175,VOO,20,226.12,5402123
2019-01-02 14:08:49.351640170,AAPL,100,155.0,5412932
2019-01-02 14:09:16.796417356,QQQ,300,150.77,5448993
2019-01-02 14:09:18.866401448,GE,184,7.43,5450707
2019-01-02 14:10:11.840000202,SPY,3,246.04,5526059
2019-01-02 14:10:22.129036306,TVIX,100,75.71,5545321
2019-01-02 14:11:29.934608568,EEM,15,38.6,5664555
2019-01-02 14:11:35.458852077,AAPL,100,155.0,5675666
2019-01-02 14:11:35.458852077,AAPL,48,155.0,5675671
2019-01-02 14:11:36.436309888,AAPL,10,155.0,5676581
2019-01-02 14:11:36.720066882,AAPL,100,155.0,5676792
2019-01-02 14:11:36.864489441,AAPL,100,155.0,5677007
2019-01-02 14:11:37.087182306,AAPL,100,155.0,5677558
2019-01-02 14:11:37.087182306,AAPL,48,155.0,5677563
2019-01-02 14:11:42.727851388,AAPL,38,155.0,5685790
2019-01-02 14:11:46.285006104,SPY,500,246.2,5692264
2019-01-02 14:11:50.236922684,SPY,96,246.2,5697291
2019-01-02 14:13:29.353114998,TMUS,100,62.58,5833642
2019-01-02 14:13:29.357938302,TMUS,100,62.58,5833720
2019-01-02 14:16:14.012305086,DIA,300,229.46,6065020
2019-01-02 14:16:14.015114453,DIA,400,229.46,6065053
2019-01-02 14:16:14.017712259,DIA,400,229.46,6065084
2019-01-02 14:16:14.020430062,DIA,200,229.47,6065113
2019-01-02 14:16:14.023038767,DIA,200,229.47,6065142
2019-01-02 14:16:16.330686799,SPY,500,246.0,6068047
2019-01-02 14:16:40.883709994,DIA,200,229.45,6114400
2019-01-02 14:16:40.901838674,DIA,300,229.45,6114543
2019-01-02 14:17:07.566919317,FTI,200,19.03,6163815
2019-01-02 14:18:13.503614877,JNUG,2000,9.3,6273104
2019-01-02 14:18:13.517396238,JNUG,100,9.3,6273288
2019-01-02 14:18:13.528840212,JNUG,100,9.3,6273317
2019-01-02 14:18:32.528755635,QQQ,100,150.9,6299309
2019-01-02 14:19:36.023269245,GUSH,65,7.29,6395017
2019-01-02 14:19:36.023632781,GUSH,200,7.29,6395057
2019-01-02 14:19:36.023659316,GUSH,35,7.29,6395081
2019-01-02 14:21:02.478768571,SPY,500,246.02,6620759
2019-01-02 14:21:16.701048393,QQQ,200,150.9,6657356
2019-01-02 14:21:16.702758026,QQQ,200,150.9,6657371
2019-01-02 14:21:16.704704009,QQQ,100,150.9,6657387
2019-01-02 14:21:17.035191554,VIXY,100,40.03,6658674
2019-01-02 14:21:34.229679440,DIA,300,229.43,6699381
2019-01-02 14:21:34.272934625,EWZ,200,38.92,6699509
2019-01-02 14:21:38.182294680,UGAZ,29,37.96,6710048
2019-01-02 14:24:55.263450974,SHY,1400,83.65,7190452
2019-01-02 14:26:35.089618771,BBL,100,40.14,7500992
2019-01-02 14:26:49.815125980,EWZ,200,38.95,7528102
2019-01-02 14:26:49.821117305,EWZ,200,38.95,7528121
2019-01-02 14:26:49.975980014,EWZ,200,38.95,7528784
2019-01-02 14:26:49.978439303,EWZ,200,38.95,7528826
2019-01-02 14:26:50.188102557,EWZ,200,38.95,7529705
2019-01-02 14:26:52.397336868,EWZ,200,38.95,7533571
2019-01-02 14:26:54.290325778,EWZ,200,38.95,7537282
2019-01-02 14:26:54.397323771,EWZ,200,38.95,7537350
