end,mem,val,accn,src
2023-12-30,RestOfAsiaPacificSegmentMember,10162000000.0,0000320193-25-000008,3M
2023-07-01,AmericasSegmentMember,35383000000.0,0000320193-24-000081,3M
2023-07-01,EuropeSegmentMember,20205000000.0,0000320193-24-000081,3M
2023-07-01,GreaterChinaSegmentMember,15758000000.0,0000320193-24-000081,3M
2023-07-01,JapanSegmentMember,4821000000.0,0000320193-24-000081,3M
2023-07-01,RestOfAsiaPacificSegmentMember,5630000000.0,0000320193-24-000081,3M
2023-04-01,AmericasSegmentMember,37784000000.0,0000320193-24-000069,3M
2023-04-01,EuropeSegmentMember,23945000000.0,0000320193-24-000069,3M
2023-04-01,GreaterChinaSegmentMember,17812000000.0,0000320193-24-000069,3M
2023-04-01,JapanSegmentMember,7176000000.0,0000320193-24-000069,3M
2023-04-01,RestOfAsiaPacificSegmentMember,8119000000.0,0000320193-24-000069,3M
2022-12-31,AmericasSegmentMember,49278000000.0,0000320193-24-000006,3M
2022-12-31,EuropeSegmentMember,27681000000.0,0000320193-24-000006,3M
2022-12-31,GreaterChinaSegmentMember,23905000000.0,0000320193-24-000006,3M
2022-12-31,JapanSegmentMember,6755000000.0,0000320193-24-000006,3M
2022-12-31,RestOfAsiaPacificSegmentMember,9535000000.0,0000320193-24-000006,3M
2022-06-25,AmericasSegmentMember,37472000000.0,0000320193-23-000077,3M
2022-06-25,EuropeSegmentMember,19287000000.0,0000320193-23-000077,3M
2022-06-25,GreaterChinaSegmentMember,14604000000.0,0000320193-23-000077,3M
2022-06-25,JapanSegmentMember,5446000000.0,0000320193-23-000077,3M
2022-06-25,RestOfAsiaPacificSegmentMember,6150000000.0,0000320193-23-000077,3M
2025-09-27,AmericasSegmentMember,44192000000.0,0000320193-25-000079|0000320193-26-000020,FY-9M
2025-09-27,EuropeSegmentMember,28703000000.0,0000320193-25-000079|0000320193-26-000020,FY-9M
2025-09-27,GreaterChinaSegmentMember,14493000000.0,0000320193-25-000079|0000320193-26-000020,FY-9M
2025-09-27,JapanSegmentMember,6636000000.0,0000320193-25-000079|0000320193-26-000020,FY-9M
2025-09-27,RestOfAsiaPacificSegmentMember,8442000000.0,0000320193-25-000079|0000320193-26-000020,FY-9M
2024-09-28,AmericasSegmentMember,41664000000.0,0000320193-25-000079|0000320193-25-000073,FY-9M
2024-09-28,EuropeSegmentMember,24924000000.0,0000320193-25-000079|0000320193-25-000073,FY-9M
2024-09-28,GreaterChinaSegmentMember,15033000000.0,0000320193-25-000079|0000320193-25-000073,FY-9M
2024-09-28,JapanSegmentMember,5926000000.0,0000320193-25-000079|0000320193-25-000073,FY-9M
2024-09-28,RestOfAsiaPacificSegmentMember,7383000000.0,0000320193-25-000079|0000320193-25-000073,FY-9M
2023-09-30,AmericasSegmentMember,40115000000.0,0000320193-25-000079|0000320193-24-000081,FY-9M
2023-09-30,EuropeSegmentMember,22463000000.0,0000320193-25-000079|0000320193-24-000081,FY-9M
2023-09-30,GreaterChinaSegmentMember,15084000000.0,0000320193-25-000079|0000320193-24-000081,FY-9M
2023-09-30,JapanSegmentMember,5505000000.0,0000320193-25-000079|0000320193-24-000081,FY-9M
2023-09-30,RestOfAsiaPacificSegmentMember,6331000000.0,0000320193-25-000079|0000320193-24-000081,FY-9M
2022-09-24,AmericasSegmentMember,39808000000.0,0000320193-24-000123|0000320193-23-000077,FY-9M
2022-09-24,EuropeSegmentMember,22795000000.0,0000320193-24-000123|0000320193-23-000077,FY-9M
2022-09-24,GreaterChinaSegmentMember,15470000000.0,0000320193-24-000123|0000320193-23-000077,FY-9M
2022-09-24,JapanSegmentMember,5700000000.0,0000320193-24-000123|0000320193-23-000077,FY-9M
2022-09-24,RestOfAsiaPacificSegmentMember,6373000000.0,0000320193-24-000123|0000320193-23-000077,FY-9M
