filed,react_day,AAPL_d0,AR_d0_SPY,AR_d0_XLK,raw_m5p5,AR_m5p5_SPY,AR_m5p5_XLK,raw_m1p20,AR_m1p20_SPY,AR_m1p20_XLK,raw_d0,raw_p1p20,AR_p1p20_SPY,AR_p1p20_XLK
2016-01-26,2018-01-03,-0.00017390877267553506,-0.0064791421325955945,-0.008480296429746126,0.011715293963517226,-0.007994702313408375,-0.00983063229683001,-0.026351317715147538,-0.07291219119693171,-0.08295143346015443,-0.00017390877267553506,-0.026177408942472002,-0.06643304906433611,-0.07447113703040831
2016-04-26,2018-01-03,-0.00017390877267553506,-0.0064791421325955945,-0.008480296429746126,0.011715293963517226,-0.007994702313408375,-0.00983063229683001,-0.026351317715147538,-0.07291219119693171,-0.08295143346015443,-0.00017390877267553506,-0.026177408942472002,-0.06643304906433611,-0.07447113703040831
2016-07-26,2018-01-03,-0.00017390877267553506,-0.0064791421325955945,-0.008480296429746126,0.011715293963517226,-0.007994702313408375,-0.00983063229683001,-0.026351317715147538,-0.07291219119693171,-0.08295143346015443,-0.00017390877267553506,-0.026177408942472002,-0.06643304906433611,-0.07447113703040831
2016-10-25,2018-01-03,-0.00017390877267553506,-0.0064791421325955945,-0.008480296429746126,0.011715293963517226,-0.007994702313408375,-0.00983063229683001,-0.026351317715147538,-0.07291219119693171,-0.08295143346015443,-0.00017390877267553506,-0.026177408942472002,-0.06643304906433611,-0.07447113703040831
2017-01-31,2018-01-03,-0.00017390877267553506,-0.0064791421325955945,-0.008480296429746126,0.011715293963517226,-0.007994702313408375,-0.00983063229683001,-0.026351317715147538,-0.07291219119693171,-0.08295143346015443,-0.00017390877267553506,-0.026177408942472002,-0.06643304906433611,-0.07447113703040831
2017-05-02,2018-01-03,-0.00017390877267553506,-0.0064791421325955945,-0.008480296429746126,0.011715293963517226,-0.007994702313408375,-0.00983063229683001,-0.026351317715147538,-0.07291219119693171,-0.08295143346015443,-0.00017390877267553506,-0.026177408942472002,-0.06643304906433611,-0.07447113703040831
2017-08-01,2018-01-03,-0.00017390877267553506,-0.0064791421325955945,-0.008480296429746126,0.011715293963517226,-0.007994702313408375,-0.00983063229683001,-0.026351317715147538,-0.07291219119693171,-0.08295143346015443,-0.00017390877267553506,-0.026177408942472002,-0.06643304906433611,-0.07447113703040831
2017-11-02,2018-01-03,-0.00017390877267553506,-0.0064791421325955945,-0.008480296429746126,0.011715293963517226,-0.007994702313408375,-0.00983063229683001,-0.026351317715147538,-0.07291219119693171,-0.08295143346015443,-0.00017390877267553506,-0.026177408942472002,-0.06643304906433611,-0.07447113703040831
2018-02-01,2018-02-02,-0.04435971066113753,-0.022349012958345238,-0.014281212822583988,-0.08575712825426995,-0.005685099167376695,-0.01614550861848585,0.058636180475533095,0.09368795731450952,0.059805013855492195,-0.04435971066113753,0.10090763429673277,0.11281322183638487,0.07287401633332946
2018-05-01,2018-05-02,0.04322714990124377,0.04996715288812004,0.04428375424315023,0.13964990613416095,0.11515925508439118,0.0759992069472526,0.12674195853203285,0.10272371099643651,0.06111557111612287,0.04322714990124377,0.060544625666569374,0.031561640331508656,0.0063105274032020375
2018-07-31,2018-08-01,0.05724018373525608,0.058912073311962576,0.048256452765169655,0.0712357499391656,0.057656846270890405,0.06755974619525551,0.16403309955979362,0.12367249608280284,0.09520117924181637,0.05724018373525608,0.10479375947019287,0.06767852889748083,0.04762794115928193
2018-11-01,2018-11-02,-0.06863313950311678,-0.06269288209875423,-0.04889885273089689,-0.06881379493616402,-0.09685328695321571,-0.07398139486944011,-0.1655666368110329,-0.1971003718927391,-0.16758526082940373,-0.06863313950311678,-0.11216915375342795,-0.13905778843030658,-0.12230124421158006
2019-01-02,2019-01-03,-0.10492423267523021,-0.08077203024939772,-0.05313856317328014,0.04637746995102798,-0.053214246130580456,-0.053309402724634136,0.05416692050562988,-0.023336027096892753,-0.018776613876419823,-0.10492423267523021,0.15795099293840975,0.057335494121313335,0.03386706266816386
2019-01-29,2019-01-30,0.06610084087817336,0.050393965980708,0.035493744560668006,0.12803674430236311,0.09113932010006698,0.06340111524583447,0.10666064333815362,0.05163629120149116,0.021110859433199014,0.06610084087817336,0.05097845474063423,0.010333100949470264,-0.01478365330769682
2019-04-30,2019-05-01,0.04791882259956237,0.055463433484000735,0.05046298521906056,-0.022321422278842373,-0.0038850085890032027,0.0084581072856178,-0.13379473565905498,-0.08197633981662866,-0.061642357172875695,0.04791882259956237,-0.1622695640761922,-0.11748575754157908,-0.09100866875493185
2019-07-30,2019-07-31,0.02019880527603224,0.03119920444748736,0.03543410779305889,-0.048062538905442764,-0.007036148578992929,0.00936116655864927,-0.016197859140829607,0.02639304229526207,0.03794367781640906,0.02019880527603224,-0.032095419116830115,-0.0029627035970678506,0.0003687068357098866
2019-10-30,2019-10-31,0.022357494282946533,0.025024045114199645,0.02295518606379998,0.06768249444350793,0.040380863241504805,0.0088879198340579,0.09692827250917446,0.06097405173254167,0.039142385548188496,0.022357494282946533,0.07469378936921878,0.03913528845538217,0.022420736013964326
2020-01-28,2020-01-29,0.020716365056758335,0.021542821885007335,0.018140357000094642,0.015297530866908993,0.01060007259646678,-0.01133290250050445,-0.11943393669404045,-0.035682304351821514,-0.03832179394234814,0.020716365056758335,-0.16804712667155197,-0.07469752704180532,-0.06540389463213891
2020-04-30,2020-05-01,-0.01623037903420599,0.010599806022330682,0.011612300039066437,0.12281458842205684,0.07605381870145145,0.03474761549255989,0.11476646809688607,0.07354173888403803,0.050241567912581164,-0.01623037903420599,0.11011999531234729,0.03271129588322452,0.013277042575011944
2020-07-30,2020-07-31,0.09956358578606572,0.09169272607004153,0.07490245749544666,0.181413243727099,0.14609542595689629,0.11554903525277593,0.2742758290636198,0.19888143994282537,0.1349277929584649,0.09956358578606572,0.16268485900636787,0.09158701101319178,0.05358244687625646
2020-10-29,2020-10-30,-0.057648120269670144,-0.04716810029832175,-0.03525946949557657,0.02680617779262562,0.010829428642565198,0.0017372300779578964,0.06993703717717104,-0.032953247763815696,-0.03202774323226221,-0.057648120269670144,0.09120456554399148,-0.012053072921183627,-0.01660644967551006
2021-01-27,2021-01-28,-0.03561182510408312,-0.04417488450175355,-0.039709441059727624,0.039794393972658604,0.03382112911070578,0.01000860285252081,-0.16453274145106977,-0.15555527795263213,-0.13929685312070816,-0.03561182510408312,-0.1212075666328829,-0.12841083996658842,-0.11093077629404746
2021-04-28,2021-04-29,-0.0007486831108431957,-0.007101211047462641,9.826608301466422e-05,-0.02856909858470491,-0.03575344832973926,0.002991525687233043,-0.0684980072645116,-0.07272850451268553,-0.03169558992057109,-0.0007486831108431957,-0.06170345885625039,-0.0598687134723761,-0.035087280316267844
2021-07-27,2021-07-28,-0.01227124706083682,-0.011860976727851913,-0.01102859779935983,0.005459217331867272,-0.012747359982927087,-0.0189040746067084,-0.0027402835363723455,-0.020472482065112096,-0.022233103906430962,-0.01227124706083682,0.02454316349305774,0.0018328998381322847,-0.005690724123297741
2021-10-28,2021-10-29,-0.01832256672544741,-0.020349844282390173,-0.022603611193495965,0.013428364788902414,-0.01897806468827845,-0.03639185062300765,0.07519193044441153,0.051980271136462086,0.008982702567944756,-0.01832256672544741,0.06882992858148018,0.0572481789411583,0.016899108017523368
2022-01-27,2022-01-28,0.06745083167437027,0.04291856801521021,0.02464934768801008,0.04806153289950199,0.04370620823432336,0.03456229502508368,0.03471161847723092,0.027240414056000084,0.024010123845152442,0.06745083167437027,-0.0297919793836936,-0.017681265413525438,-0.004604034959306169
2022-04-28,2022-04-29,-0.037291444121042794,0.00036462581755625223,0.005277175919888855,-0.05501899975410485,0.007916583643309494,-0.008932460741533532,-0.043802668762766395,-0.03897415374475344,-0.040767641875981475,-0.037291444121042794,-0.050676709664099207,-0.05855852748609092,-0.050959651692725316
2022-07-28,2022-07-29,0.03226669095474133,0.017793140587015976,0.017035238344357495,0.06377199940019462,0.027621969091250698,0.008683676440263355,0.04402700716030061,0.033435834176414936,0.04424145049840167,0.03226669095474133,0.008195116030011995,0.02454196469157921,0.03875013672988903
2022-10-27,2022-10-28,0.07283442181115074,0.04932225849735605,0.030267980104572878,-0.03390722329410778,-0.06340661591083485,-0.032998347597342104,-0.03329529924262964,-0.06900938121876443,-0.0733241864716776,0.07283442181115074,-0.07519060782208165,-0.09274682083093033,-0.084102771690719
2023-02-02,2023-02-03,0.02410690046955022,0.034792916329666745,0.032465773611650484,0.04933624270961179,0.04124055231855639,0.018593510081521103,0.057678961633102155,0.07320779029931934,0.045891737313389136,0.02410690046955022,-0.0028201874316566844,0.016474824359519857,0.003974642453100863
2023-05-04,2023-05-05,0.04585925729848217,0.027516234392821026,0.021090542530087575,0.025783957101037203,0.027774211303496443,0.014190060811861471,0.07131828336820956,0.025616190941443406,-0.041408123144178965,0.04585925729848217,0.0354219741281101,0.0009550081223226314,-0.05733640818204844
2023-08-03,2023-08-04,-0.0492112122119055,-0.0446782795231746,-0.035517064859823755,-0.08187677500766544,-0.06664503974754066,-0.03134764359167175,-0.014984035819512798,-0.017336088950107076,-0.026227425238433355,-0.0492112122119055,0.041575769204816204,0.031820798802169925,0.012554883666051175
2023-11-02,2023-11-03,-0.005194651762657543,-0.014276665482196194,-0.015435562056612007,0.11187657831628961,0.04607383435915402,-0.0020494401527590966,0.08645318652470291,0.009016539563098114,-0.005709130184849975,-0.005194651762657543,0.07116565382195006,0.021793962742362893,0.00603050947530015
2024-02-01,2024-02-02,-0.005419602088720943,-0.015891871947816938,-0.01570795384837176,-0.02650567272829729,-0.05313400492871345,-0.04466409075714051,-0.05047458159604634,-0.10961677267579084,-0.11454512637659597,-0.005419602088720943,-0.05830744902119278,-0.09397410090074754,-0.09957228593811163
2024-05-02,2024-05-03,0.05809544129643118,0.045776240609562535,0.030616790657681747,0.0759637040717891,0.04208467159437568,0.0365677800602473,0.13769602514034496,0.08428655532886253,0.05650551311701779,0.05809544129643118,0.05780780501984406,0.026027450863072232,0.018406757375998062
2024-08-01,2024-08-02,0.006845777984690216,0.025639770340727175,0.035352949752605056,-0.005763865613605645,0.004353864489994308,0.032122219782239725,0.031841201077154935,0.008744262345570242,0.02487281165347266,0.006845777984690216,0.04188788799778376,-0.01426513642516003,-0.03159519332769811
2024-10-31,2024-11-01,-0.013368589170938527,-0.017580187193510177,-0.020854922245532315,-0.014681076681185345,-0.046872495711576256,-0.04925750254821626,0.041514664206190766,0.0015988066841527981,0.014276905609754031,-0.013368589170938527,0.07326063817426842,0.01775838644869765,0.02088492378296003
