Date,Symbol,Company Name
"Dec 31, 2010",STU,Student Loan Corp
"Dec 31, 2010",NUHC,Nu Horizons Electronics Corp
"Dec 31, 2010",MROE,Monroe Bancorp
"Dec 31, 2010",GSTY,Green St Energy Inc
"Dec 31, 2010",CCBP,Comm Bancorp Inc
"Dec 30, 2010",TTPA,Trintech Group PLC
"Dec 29, 2010",PRPX,Portec Rail Products Inc
"Dec 28, 2010",CFS,Comforce Corp
"Dec 27, 2010",YOCM,Yocream International Inc
"Dec 27, 2010",CLU,Cellu Tissue Holdings Inc
"Dec 27, 2010",BCIS,Bancinsurance Corp
"Dec 23, 2010",GIGIQ,Gulfstream International Group Inc
"Dec 22, 2010",RSCR,Res Care Inc
"Dec 22, 2010",CLRT,Clarient Inc
"Dec 21, 2010",MAM,Maine & Maritimes Corp
"Dec 21, 2010",ACLI,American Commercial Lines Inc
"Dec 20, 2010",ISLN,Isilon Systems Inc
"Dec 20, 2010",AWBCQ,Americanwest Bancorporation
"Dec 20, 2010",ANSVQ,Anesiva Inc
"Dec 17, 2010",LAWEQ,Law Enforcement Associates Corp
"Dec 17, 2010",INET,Internet Brands Inc
"Dec 17, 2010",CDSCY,Cadbury Schweppes Public Ltd Co.
"Dec 16, 2010",AEZ,American Oil & Gas Inc
"Dec 16, 2010",ACTI,Actividentity Corp
"Dec 15, 2010",PZZ,Prospect Medical Holdings Inc
"Dec 15, 2010",NCOC,National Coal Corp
"Dec 15, 2010",HBE,Henry Bros Electronics Inc
"Dec 14, 2010",DINE,Rewards Network Inc
"Dec 13, 2010",ATGN,Altigen Communications Inc
"Dec 10, 2010",GTCB,Gtc Biotherapeutics Inc
"Dec 10, 2010",FCEC,First Chester County Corp
"Dec 9, 2010",ABWTQ,Bowater Inc
"Dec 8, 2010",KEI,Keithley Instruments Inc
"Dec 6, 2010",UCBHQ,Ucbh Holdings Inc
"Dec 6, 2010",SAMB,Sun American Bancorp
"Dec 6, 2010",LYB.B,Lyondellbasell Industries Nv
"Dec 6, 2010",CJHBQ,Champion Enterprises Inc
"Dec 3, 2010",ULCM,Ulticom Inc
"Dec 3, 2010",CSCX,Cardiac Science Corp
"Dec 2, 2010",THMD,Thermadyne Holdings Corp
"Dec 1, 2010",HWK,Hawk Corp
"Nov 30, 2010",SMTB,Smithtown Bancorp Inc
"Nov 30, 2010",OTIX,Otix Global Inc
"Nov 30, 2010",LSBX,Lsb Corp
"Nov 30, 2010",CJBK,Central Jersey Bancorp
"Nov 29, 2010",TONEQ,Tierone Corp
"Nov 29, 2010",CVNSQ,Conversion Services International Inc
"Nov 22, 2010",GYMB,Gymboree Corp
"Nov 19, 2010",WLVTQ,Wolverine Tube Inc
"Nov 19, 2010",NZYM,Synthetech Inc
