contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL261016P00320000,2026-09-14 19:59:30+00:00,320.0,4.35,4.3,4.4,-0.3499999,-7.4468074,1529.0,12060,0.24390404541015626,False,REGULAR,USD
AAPL261016P00325000,2026-09-14 19:59:43+00:00,325.0,5.8,5.75,5.95,-0.4499998,-7.199997,1034.0,3065,0.23938748901367185,False,REGULAR,USD
AAPL261016P00330000,2026-09-14 19:59:57+00:00,330.0,7.71,7.55,7.8,-0.59000015,-7.1084356,1937.0,5669,0.23288730987548828,False,REGULAR,USD
AAPL261016P00335000,2026-09-14 19:59:55+00:00,335.0,9.97,9.95,10.15,-0.77999973,-7.255811,1827.0,1896,0.22864540893554688,True,REGULAR,USD
AAPL261016P00340000,2026-09-14 19:58:52+00:00,340.0,12.6,12.5,12.85,-0.7399998,-5.5472245,1218.0,2297,0.2222367816162109,True,REGULAR,USD
AAPL261016P00345000,2026-09-14 19:15:50+00:00,345.0,15.6,15.6,16.1,-0.94999886,-5.740175,10.0,570,0.21894091613769529,True,REGULAR,USD
AAPL261016P00350000,2026-09-14 19:58:28+00:00,350.0,19.45,18.95,19.6,-1.0499992,-5.1219473,83.0,1384,0.21070125244140625,True,REGULAR,USD
AAPL261016P00355000,2026-09-14 16:35:34+00:00,355.0,22.15,21.95,24.55,-1.9500008,-8.0912895,1.0,43,0.24225611267089842,True,REGULAR,USD
AAPL261016P00360000,2026-09-11 19:03:55+00:00,360.0,28.4,26.75,28.15,0.0,0.0,15.0,43,0.21411918701171873,True,REGULAR,USD
AAPL261016P00365000,2026-09-14 17:27:19+00:00,365.0,31.05,30.9,33.1,0.7199993,2.373885,21.0,1,0.237739556274414,True,REGULAR,USD
AAPL261016P00370000,2026-09-10 16:00:31+00:00,370.0,50.6,35.6,37.95,0.0,0.0,1.0,1,0.25391371093750004,True,REGULAR,USD
AAPL261016P00375000,2026-09-11 17:41:04+00:00,375.0,41.76,40.5,42.85,0.0,0.0,,20,0.2708813146972656,True,REGULAR,USD
AAPL261016P00380000,2026-07-30 14:10:28+00:00,380.0,48.75,58.4,61.4,0.0,0.0,1.0,0,0.7260769580078125,True,REGULAR,USD
AAPL261016P00390000,2026-07-28 19:55:59+00:00,390.0,53.15,68.4,71.4,0.0,0.0,2.0,0,0.7912008184814454,True,REGULAR,USD
AAPL261016P00395000,2026-08-20 14:52:03+00:00,395.0,78.23,60.0,63.25,0.0,0.0,,0,0.38672488281249995,True,REGULAR,USD
AAPL261016P00400000,2026-09-03 16:56:49+00:00,400.0,71.0,65.0,68.35,0.0,0.0,,0,0.41480077392578124,True,REGULAR,USD
AAPL261016P00405000,2026-07-22 18:51:37+00:00,405.0,80.2,92.8,96.05,0.0,0.0,,0,1.1508831518554685,True,REGULAR,USD
AAPL261016P00410000,2026-08-12 19:46:24+00:00,410.0,108.52,74.95,78.75,0.0,0.0,1.0,1,0.48291532714843755,True,REGULAR,USD
AAPL261016P00415000,2026-08-12 19:46:24+00:00,415.0,113.54,79.95,83.3,0.0,0.0,,0,0.47241738525390625,True,REGULAR,USD
AAPL261016P00590000,2026-07-28 19:49:18+00:00,590.0,250.65,268.4,271.4,0.0,0.0,,0,1.6373919497680665,True,REGULAR,USD
AAPL261016P00600000,2026-07-30 13:33:22+00:00,600.0,266.4,278.4,281.4,0.0,0.0,,0,1.667360061645508,True,REGULAR,USD
