period_end,iphone_musd
2022-04-01,50570
2022-07-01,40665
2022-12-30,65775
2023-03-30,51334
2023-04-01,51334
2023-06-29,39669
2023-07-01,39669
2023-12-28,69702
2023-12-30,69702
2024-03-29,45963
2024-03-30,45963
2024-06-28,39296
2024-06-29,39296
2024-12-27,69138
2024-12-28,69138
2025-03-28,46841
2025-03-29,46841
2025-06-27,44582
2025-06-28,44582
2025-12-27,85269
2026-03-28,56994
2026-06-27,54252
