grp,h,thr,n_dates,n,ll,ll_clim,lls,bs,bs_clim,bss,ece_up,ece_dn,mp_up,ob_up,mp_dn,ob_dn,floored
INDEX,1,0.01,5201,26005,1.2348991075358102,1.3042183299898775,0.0531500139663007,0.6800519249810817,0.7091329792944041,0.04100931018926579,0.006955214179716982,0.01145019876543977,0.15824323128939538,0.1585464333781965,0.14636196636269289,0.14185733512786003,0.0
INDEX,1,0.02,5201,26005,0.9376324368563278,1.0000980810049944,0.06245951805636418,0.5661750336755073,0.5800552932573234,0.02392920079027472,0.005373467113456395,0.007728371185316131,0.047976904360643294,0.043184003076331474,0.0490468269782857,0.04922130359546241,0.04306864064602961
INDEX,1,0.03,5201,26005,0.794219698319145,0.8409046123223027,0.05551749071066381,0.5230020949854163,0.5288972875855119,0.011146195562862449,0.0025543111299043465,0.0034833915236892553,0.0179536872599529,0.015458565660449914,0.019661854763247232,0.018534897135166314,0.2311094020380696
INDEX,1,0.05,5201,26005,0.71595028000477,0.7393933350264139,0.03170579705158749,0.5025835962273075,0.5036857262775031,0.002188130400956334,0.0008443440645765167,0.0011341639401336889,0.004447687132522662,0.0036915977696596806,0.005069205100076257,0.003960776773697366,0.641069025187464
INDEX,5,0.01,5198,25990,1.3117904614065674,1.3442093260454915,0.0241174227932911,0.7125268970262714,0.7280537808331314,0.02132656160248525,0.024848321535441455,0.0187559553324924,0.35329084136523664,0.37325894574836477,0.2651076664124007,0.24932666410157753,0.0
INDEX,5,0.02,5198,25990,1.268331387164324,1.3266389738139055,0.043951359639280874,0.691670510400902,0.7190997489777833,0.03814385781092622,0.015697047135276837,0.01817490657448923,0.19449425793472636,0.19461331281262023,0.15284357700441728,0.14971142747210467,0.0
INDEX,5,0.03,5198,25990,1.101357513378898,1.1689195321468744,0.057798690936312624,0.6213769397351163,0.6435690155418012,0.03448282199851105,0.011521457534129382,0.012931404765385205,0.10461699335833287,0.10107733743747595,0.08843886831903788,0.08872643324355521,3.847633705271258e-05
INDEX,5,0.05,5198,25990,0.8612988886034637,0.9060283370802668,0.04936870807037508,0.5356734150080457,0.5421205971785595,0.011892523921924192,0.007487236680223766,0.007714198844680245,0.03468426694027365,0.028434013081954597,0.033865382635097856,0.030434782608695653,0.08183916891111966
INDEX,10,0.01,5193,25965,1.23149892150661,1.2545587228285533,0.018380806655229565,0.6718360658604214,0.681355549610627,0.013971389468605211,0.03317499596753975,0.02656357431202845,0.4299089563752607,0.4616984402079723,0.2923631484278268,0.267475447718082,0.0
INDEX,10,0.02,5193,25965,1.3243460421898066,1.3658473185991018,0.03038500412466416,0.715825585805533,0.7398755424624981,0.0325054083784424,0.025889754360217083,0.02575064089236038,0.28359722567674855,0.3085307144232621,0.19861361946148057,0.18382437897169265,0.0
