qend,tag,acc,prod_rev,svc_rev,rev,prod_cos,svc_cos,gp,rnd,sga,opinc,pretax,tax,ni,eps,sh_dil,prod_gm%,svc_gm%,gm%,op%,rnd%,tax%,svc_rev_share%,svc_gp_share%
2024-12-28,Q1FY25,0000320193-25-000007,97960.0,26340.0,124300.0,59447.0,6578.0,58275.0,8268.0,7175.0,42832.0,42584.0,6254.0,36330.0,2.4,15150865.0,39.315026541445484,75.02657555049355,46.882542236524536,34.458567980691875,6.651649235720032,14.686267142588767,21.190667739340306,33.91162591162591
2025-03-29,Q2FY25,0000320193-25-000055,68714.0,26645.0,95359.0,44030.0,6462.0,44867.0,8550.0,6728.0,29589.0,29310.0,4530.0,24780.0,1.65,15056133.0,35.9228104898565,75.74779508350534,47.050619238876244,31.029058610094484,8.96611751381621,15.455475946775845,27.941777912939525,44.984064011411505
2025-06-28,Q3FY25,0000320193-25-000071,66613.0,27423.0,94036.0,43620.0,6698.0,43718.0,8866.0,6650.0,28202.0,28031.0,4597.0,23434.0,1.57,14948179.0,34.51728641556453,75.57524705539146,46.490705687183635,29.99064188183249,9.428304053766642,16.399700331775534,29.162235739504023,47.40610274943959
2025-09-27,Q4FY25,0000320193-25-000077,73716.0,28750.0,102466.0,47019.0,7106.0,48341.0,8866.0,7048.0,32427.0,32804.0,5338.0,27466.0,1.85,14863609.0,36.21601823213413,75.28347826086956,47.177600374758455,31.646594968086976,8.652626236995687,16.272405804170223,28.05808756075186,44.77358763782296
2025-12-27,Q1FY26,0000320193-26-000005,113743.0,30013.0,143756.0,67478.0,7047.0,69231.0,10887.0,7492.0,50852.0,51002.0,8905.0,42097.0,2.84,14810356.0,40.67503055133063,76.52017459101056,48.158685550516154,35.373827875010434,7.573249116558613,17.460099603937103,20.877737277052784,33.173000534442664
2026-03-28,Q2FY26,0000320193-26-000011,80208.0,30976.0,111184.0,49179.0,7224.0,54781.0,11419.0,7477.0,35885.0,35833.0,6255.0,29578.0,2.01,14725873.0,38.68566726511071,76.67871900826447,49.27057850050367,32.275327385235286,10.270362642106779,17.45597633466358,27.860123758814222,43.35809861083222
2026-06-27,Q3FY26,0000320193-26-000018,78678.0,30739.0,109417.0,47153.0,7494.0,54770.0,11729.0,7346.0,35695.0,36267.0,6478.0,29789.0,2.02,14714676.0,40.068379979155544,75.62054718761183,50.056206987945195,32.62290137729969,10.7195408391749,17.86196818043952,28.09344069020353,42.44111740003652
