contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL270115P00005000,2026-09-04 13:30:00+00:00,5.0,0.01,0.0,0.01,0.0,0.0,50.0,1699,2.1875045312499997,False,REGULAR,USD
AAPL270115P00010000,2026-08-05 13:30:02+00:00,10.0,0.2,0.0,0.22,0.0,0.0,10.0,143,2.355472861328124,False,REGULAR,USD
AAPL270115P00015000,2026-08-05 13:38:00+00:00,15.0,0.09,0.0,1.05,0.0,0.0,1.0,90,2.5195349511718748,False,REGULAR,USD
AAPL270115P00020000,2026-08-05 13:30:48+00:00,20.0,0.27,0.0,1.01,0.0,0.0,20.0,3434,2.2441450146484367,False,REGULAR,USD
AAPL270115P00025000,2026-06-23 19:57:01+00:00,25.0,0.01,0.0,0.02,0.0,0.0,996.0,3415,1.359378203125,False,REGULAR,USD
AAPL270115P00030000,2025-11-07 16:25:28+00:00,30.0,0.03,0.0,0.04,0.0,0.0,1.0,46,1.3359408203124996,False,REGULAR,USD
AAPL270115P00035000,2026-04-09 15:36:11+00:00,35.0,0.02,0.0,1.13,0.0,0.0,10.0,128,1.7949229003906249,False,REGULAR,USD
AAPL270115P00040000,2026-09-11 19:34:48+00:00,40.0,0.02,0.0,0.01,0.0,0.0,1.0,1024,1.0625046875000002,False,REGULAR,USD
AAPL270115P00045000,2026-08-11 13:30:01+00:00,45.0,0.05,0.0,0.52,0.0,0.0,1.0,80,1.431643466796875,False,REGULAR,USD
AAPL270115P00050000,2026-09-10 14:09:58+00:00,50.0,0.01,0.0,0.05,0.0,0.0,1.0,2799,1.0703171484375003,False,REGULAR,USD
AAPL270115P00060000,2026-09-11 16:55:03+00:00,60.0,0.01,0.01,0.02,0.0,0.0,41.0,1246,0.92187578125,False,REGULAR,USD
AAPL270115P00070000,2026-08-21 19:43:16+00:00,70.0,0.03,0.0,0.18,0.0,0.0,16.0,189,0.99023447265625,False,REGULAR,USD
AAPL270115P00080000,2026-09-11 14:41:55+00:00,80.0,0.03,0.01,0.05,0.0,0.0,1.0,871,0.8203142968749999,False,REGULAR,USD
AAPL270115P00085000,2026-09-02 14:55:14+00:00,85.0,0.02,0.0,0.1,0.0,0.0,12.0,351,0.8203142968749999,False,REGULAR,USD
AAPL270115P00090000,2026-09-11 16:54:53+00:00,90.0,0.04,0.0,0.1,0.0,0.0,7.0,1757,0.789064609375,False,REGULAR,USD
AAPL270115P00095000,2026-09-11 16:53:10+00:00,95.0,0.09,0.0,0.1,0.0,0.0,3.0,929,0.75586181640625,False,REGULAR,USD
AAPL270115P00100000,2026-09-11 16:53:26+00:00,100.0,0.03,0.01,0.05,0.0,0.0,5.0,3196,0.6953155468750001,False,REGULAR,USD
AAPL270115P00105000,2026-09-14 18:42:30+00:00,105.0,0.1,0.01,0.36,0.030000001,42.857143,11.0,1529,0.8007832421875,False,REGULAR,USD
AAPL270115P00110000,2026-09-14 17:51:10+00:00,110.0,0.06,0.01,0.13,0.03,100.0,9.0,791,0.69336244140625,False,REGULAR,USD
AAPL270115P00115000,2026-09-14 19:47:54+00:00,115.0,0.09,0.01,0.29,0.060000002,199.99998,27.0,761,0.7226590234375,False,REGULAR,USD
AAPL270115P00120000,2026-09-14 17:55:38+00:00,120.0,0.03,0.0,0.07,-0.03,-50.0,26.0,3081,0.6015664843750002,False,REGULAR,USD
AAPL270115P00125000,2026-09-14 19:48:29+00:00,125.0,0.07,0.01,0.22,0.04,133.33333,26.0,857,0.649417568359375,False,REGULAR,USD
AAPL270115P00130000,2026-09-14 17:56:13+00:00,130.0,0.04,0.0,0.19,0.0,0.0,11.0,4930,0.6113320117187502,False,REGULAR,USD
AAPL270115P00135000,2026-09-14 17:51:59+00:00,135.0,0.1,0.01,0.14,0.05,100.0,16.0,1580,0.5742230078125,False,REGULAR,USD
AAPL270115P00140000,2026-09-14 17:52:07+00:00,140.0,0.07,0.03,0.1,0.010000002,16.66667,5.0,2116,0.5449264257812501,False,REGULAR,USD
AAPL270115P00145000,2026-09-11 13:50:31+00:00,145.0,0.09,0.05,0.12,0.0,0.0,1.0,8849,0.5380905566406251,False,REGULAR,USD
AAPL270115P00150000,2026-09-14 19:30:59+00:00,150.0,0.07,0.03,0.14,-0.059999995,-46.153843,20.0,5253,0.51758294921875,False,REGULAR,USD
AAPL270115P00155000,2026-09-10 17:23:29+00:00,155.0,0.14,0.03,0.15,0.0,0.0,1.0,1240,0.5009815527343751,False,REGULAR,USD
AAPL270115P00160000,2026-09-14 16:42:11+00:00,160.0,0.09,0.06,0.16,-0.019999996,-18.181814,13.0,5175,0.5136767382812499,False,REGULAR,USD
AAPL270115P00165000,2026-09-11 15:18:37+00:00,165.0,0.1,0.07,0.19,0.0,0.0,90.0,3799,0.5039112109375,False,REGULAR,USD
AAPL270115P00170000,2026-09-11 15:32:10+00:00,170.0,0.12,0.09,0.2,0.0,0.0,98.0,7679,0.48730981445312505,False,REGULAR,USD
AAPL270115P00175000,2026-09-14 17:35:43+00:00,175.0,0.13,0.11,0.25,-0.010000005,-7.1428604,98.0,3674,0.481450498046875,False,REGULAR,USD
AAPL270115P00180000,2026-09-14 19:44:28+00:00,180.0,0.2,0.14,0.28,0.0,0.0,18.0,9102,0.4687553125,False,REGULAR,USD
AAPL270115P00185000,2026-09-11 19:30:05+00:00,185.0,0.21,0.17,0.32,0.0,0.0,14.0,5487,0.45825737060546884,False,REGULAR,USD
AAPL270115P00190000,2026-09-14 19:02:36+00:00,190.0,0.24,0.21,0.35,-0.030000016,-11.111116,256.0,7359,0.44482977050781247,False,REGULAR,USD
AAPL270115P00195000,2026-09-14 19:40:47+00:00,195.0,0.27,0.29,0.37,-0.01999998,-6.8965454,286.0,5818,0.42969320312500003,False,REGULAR,USD
AAPL270115P00200000,2026-09-14 19:43:54+00:00,200.0,0.35,0.32,0.44,-0.01000002,-2.7777834,176.0,21496,0.42212491943359376,False,REGULAR,USD
AAPL270115P00205000,2026-09-11 19:59:41+00:00,205.0,0.42,0.35,0.54,0.0,0.0,1.0,196,0.41699801757812494,False,REGULAR,USD
AAPL270115P00210000,2026-09-11 19:59:09+00:00,210.0,0.47,0.41,0.61,0.0,0.0,130.0,15866,0.40650007568359375,False,REGULAR,USD
