symbol,n_annual,n_quarter,fy_end,fy_filed,revenue_fy,rev_g_fy,rev_cagr_3y,tag_switches,q_end,revenue_q,rev_g_q_yoy,rev_q_yoy_base,ttm_span_days,revenue_ttm,gross_margin,op_margin,net_margin,ocf_margin,accruals,sbc_pct_rev,rnd_pct_rev,capex_pct_rev,capex_pct_rev_4y_ago,capex_accel,rpo,rpo_g_yoy,rpo_yoy_base,contract_asset_g_yoy,shares,dilution_yoy,net_cash,price,mcap,ev,ev_sales,ev_gp,eps_ttm_gaap,pe_gaap,flags,note,related_party_rev,related_party_pct_rev,related_party_pct_growth
ENPH,16,56,2025-12-31,2026-02-17,1472985000.0,0.10718868175555452,-0.14185407107518988,2.0,2026-03-31,282900000.0,-0.20552453915368285,2025-03-31,365.0,1472985000.0,0.4664025770798752,0.10694338367328927,0.11685998160198509,0.09269612385733732,0.024163857744647774,0.14534431783079937,0.12836179594496888,0.02758955454400418,0.019925323475997844,0.007664231068006337,470556000.0,-0.0616561144623361,2025-03-31,-0.0708500275745676,131337000.0,-0.004034306774147067,358131000.0,36.65999984741211,4814814399.959564,4456683399.959564,3.025613566981038,6.4871287502832065,0.94,38.99999983767246,RPO -6% 而营收 +11% | 营收标签换过2次(已按阶梯合并),,,,
HIMS,7,20,2025-12-31,2026-02-23,2347637000.0,0.5899862784910945,0.6454948211180809,1.0,2026-06-30,753214000.0,0.38246765522646387,2025-06-30,365.0,2347637000.0,0.7383500941585092,0.04498693792950103,0.054678385116608746,0.127790625211649,-0.07311224009504025,0.05760856554910321,,0.10333795216211024,0.013664417098740595,0.08967353506336964,,,,,231746126.0,0.03285929535979926,841048000.0,28.809999465942383,6676605766.294216,5835557766.294216,2.4857155370673643,3.366581187885283,-0.54,,capex/营收 4年 1%→10% | 股数年增+3.3%,,,,
MDB,11,30,2026-01-31,2026-03-11,2463797000.0,0.2279426826478499,0.2426308261987642,2.0,2026-07-31,771773000.0,0.30498882316935005,2025-07-31,365.0,2463797000.0,0.7174856532417241,-0.055592242380358446,-0.028878596735039452,0.2050282551687497,-0.23390685190378915,0.22341694547075103,0.2907313386614238,0.0020131528693313615,0.005641568798479798,-0.003628415929148437,1519200000.0,0.9128682951397633,2025-07-31,0.21359223300970864,80497631.0,-0.007161021785452304,2194396000.0,382.2900085449219,30773440042.835968,28579044042.835968,11.599593652738422,16.16700431615525,-0.49,,SBC占营收22% | 净利率-3% | 营收标签换过2次(已按阶梯合并),,,,
CRCL,3,7,2025-12-31,2026-03-09,2746642000.0,0.6385605275575943,,1.0,2026-06-30,701315000.0,0.06570193806813185,2025-06-30,365.0,2746642000.0,,-0.03511014540664564,-0.025310178756459707,0.19737883568371853,-0.22268901444017822,0.20613425411830155,,0.004526254240632743,,,,,,,248183000.0,1.3083784437375598,1730126000.0,97.41999816894531,24177987405.563354,22447861405.563354,8.17283847169138,,-3.45,,SBC占营收21% | 股数年增+130.8% | 净利率-3%,,,,
AON,19,66,2025-12-31,2026-02-13,17181000000.0,0.09447063320168181,0.11247318365137482,2.0,2026-06-30,4246000000.0,0.021901323706377873,2025-06-30,365.0,17181000000.0,,0.2528374367033351,0.2182643617950061,0.20260753157557768,0.015656830219428437,0.025144054478784705,,0.015307607240556428,0.015706386729705906,-0.000398779489149478,,,,0.13186813186813184,213200000.0,-0.013876040703052706,-11680000000.0,311.5400085449219,66420329821.77734,78100329821.77734,4.545738305207924,,12.979999999999999,24.001541490363785,营收标签换过2次(已按阶梯合并),,,,
SOFI,7,19,2025-12-31,2026-02-17,619353000.0,0.2310170673970382,0.17985536934222757,1.0,2026-06-30,153577000.0,0.011106721969846634,2025-06-30,365.0,619353000.0,0.016719060051376196,,0.7771335571152477,-6.042528251255746,6.819661808370993,0.4231157352915058,1.0467891493219537,0.39144720377555287,0.2471545707193924,0.14429263305616047,,,,,1284303000.0,0.16015902352832767,-174307000.0,17.649999618530273,22667947460.077286,22842254460.077286,36.88083283697227,2205.9154476173135,0.43,41.04651074076808,SBC占营收42% | capex/营收 4年 25%→39% | 应计项目+682%营收(利润未落现金) | 股数年增+16.0% | EV/Sales 37x,,,,
DDOG,9,24,2025-12-31,2026-02-18,3427158000.0,0.2767536858183308,0.2694953937625746,1.0,2026-06-30,1121454000.0,0.3564444336929702,2025-06-30,365.0,3427158000.0,0.7995549081775629,-0.012947462591453327,0.03142545514388306,0.30641569487021025,-0.2749902397263272,0.21903600592677663,0.45181780355618273,0.014466213696596422,0.0210500865619963,-0.006583872865399878,3471400000.0,0.43103306125814167,2025-06-30,,356253000.0,0.02908271588890332,4985438000.0,230.0500030517578,81956003737.19788,76970565737.19788,22.459007065678872,28.089386777538536,0.38,605.3947448730469,SBC占营收22% | EV/Sales 22x,,,,
PLTR,8,21,2025-12-31,2026-02-17,4475446000.0,0.5618339093221549,0.32917125287657845,1.0,2026-06-30,1935464000.0,0.928334945705726,2025-06-30,365.0,4475446000.0,0.8236651721415028,0.3159495165398041,0.3630996776634105,0.47692967360124555,-0.11382999593783502,0.15284130341422955,0.12460813961334803,0.007570642121477949,0.021001946091839373,-0.013431303970361425,4900000000.0,1.0416666666666665,2025-06-30,,2399820000.0,0.014638955925851294,9409099000.0,173.30999755859375,415912798341.06445,406503699341.06445,90.82976296464408,110.27510454095034,1.06,163.49999769678655,SBC占营收15% | EV/Sales 91x,,,,
PANW,16,54,2026-07-31,2026-09-10,11480000000.0,0.2449842750244009,0.18536155384757969,2.0,2026-04-30,3002000000.0,0.3114897335080822,2025-04-30,365.0,11480000000.0,0.7035714285714286,0.06054006968641115,0.026742160278745646,0.396602787456446,-0.36986062717770035,0.15810104529616725,0.22229965156794426,0.03832752613240418,0.02122535436041029,0.01710217177199389,21200000000.0,0.3417721518987342,2025-07-31,0.06208635360857229,801000000.0,0.20451127819548875,1079500000.0,373.94000244140625,299525941955.5664,298446441955.5664,25.99707682539777,36.95015995488008,1.23,304.0162621474848,SBC占营收16% | 股数年增+20.5% | EV/Sales 26x | 营收标签换过2次(已按阶梯合并),,,,
HOOD,7,19,2025-12-31,2026-02-20,4473000000.0,0.515757370382921,0.4878747583673768,1.0,2026-06-30,1308000000.0,0.3225480283114257,2025-06-30,365.0,4473000000.0,,,0.4209702660406886,0.36619718309859156,0.054773082942097026,0.06818689917281466,0.07936507936507936,0.006259780907668232,0.026141035480465386,-0.005522478779434459,,,,,899000000.0,0.01927437641723362,5362000000.0,114.33000183105469,102782671646.11816,97420671646.11816,21.779716442235227,,2.0300000000000002,56.32019794633235,应计项目+5%营收(利润未落现金) | EV/Sales 22x,,,,
ARKB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,无营收数据（可能是 ETF / 无 XBRL 申报）,,,
BITB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,无营收数据（可能是 ETF / 无 XBRL 申报）,,,
BRRR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,无营收数据（可能是 ETF / 无 XBRL 申报）,,,
BTCO,1,4,2024-12-31,2025-02-28,0.0,,,1.0,2025-03-31,0.0,,2024-03-31,365.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
EZBC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,无营收数据（可能是 ETF / 无 XBRL 申报）,,,
FBTC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,无营收数据（可能是 ETF / 无 XBRL 申报）,,,
GBTC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,无营收数据（可能是 ETF / 无 XBRL 申报）,,,
HODL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,无营收数据（可能是 ETF / 无 XBRL 申报）,,,
IBIT,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,无营收数据（可能是 ETF / 无 XBRL 申报）,,,
COIN,7,20,2025-12-31,2026-02-12,7181325000.0,0.09404240810672948,0.3100276522124539,1.0,2026-06-30,1220068000.0,-0.1851045412527852,2025-06-30,365.0,7181325000.0,,0.1998852579433461,0.18102508938113787,0.3378739995752873,-0.1568489101941494,0.11689207771546337,0.23263186111198142,0.000408420451657598,0.06280457530422401,-0.06188635081790377,,,,,263412000.0,0.032227220715707716,2844611000.0,191.4499969482422,50430226596.13037,47585615596.13037,6.6263002434969,,3.789999999999999,50.51451106813779,股数年增+3.2%,,12900000.0,0.0017963258869359068,-0.026243445213568185
MSTR,17,61,2025-12-31,2026-02-19,477233000.0,0.029726662293723782,-0.014930804375807294,2.0,2026-06-30,122368000.0,0.06882817413178666,2025-06-30,365.0,477233000.0,0.686909748487636,-11.408232456682585,-8.063467949617902,-0.14089763281248363,-7.922570316805418,0.11183007042681457,0.19667541850626424,0.01720752755991308,0.00497932957313165,0.01222819798678143,546900000.0,0.16213344666383334,2025-06-30,,352534000.0,0.28080539448634667,-4222132000.0,136.94000244140625,48276006820.67871,52498138820.67871,110.00525701424401,160.14513879944454,-21.679999999999996,,股数年增+28.1% | EV/Sales 110x | 净利率-806% | 营收标签换过2次(已按阶梯合并),,,,
