strat,label,n,mean,median,win%,avg_win,avg_loss,pf,avg_hold,cagr,vol,sharpe,maxdd,mar,tim,train_cagr,train_sharpe,test_cagr,test_sharpe,test_maxdd,test_mar,family
baseline_signal,Baseline: signal exit only (current behavior),135573,0.008448259183100635,0.0052692864327824615,53.652275895642944,0.0797559331208422,-0.07409773567459724,1.2459993045079019,27.59674123903727,0.11913063441233351,0.1646136227492783,0.7660640677208876,-0.2469254790523675,0.4824558197457967,0.9992841803865425,0.06599128130146825,0.4501644853020059,0.18990395816252903,1.2471450953332186,-0.17418512419881452,1.0902421147386447,baseline_signal
hard_atr_stop,Hard ATR stop 2.0x + signal,135573,0.000974351532958289,-0.01840321395464717,41.244938151401826,0.08168233138882133,-0.05568111835757467,1.0297825881239313,13.761523312163927,0.03195220099139351,0.15945159512032636,0.277017743942396,-0.3803713075934879,0.08400265833284566,0.9992841803865425,-0.01615082784164079,-0.0061953730112494455,0.0959517846136706,0.7315439444626516,-0.19832574217027235,0.4838090283372861,hard_atr_stop
hard_atr_stop,Hard ATR stop 2.5x + signal,135573,0.0015080440920407718,-0.010198445523423416,44.52804024400139,0.08159766693644363,-0.06278090414106756,1.043302499407337,15.726317187050519,0.041967994004253883,0.15970935524593718,0.3373306370900024,-0.3551852513215662,0.11815804245277699,0.9992841803865425,-0.0013296618547966599,0.07995090348376807,0.09922989366758195,0.7556327652998011,-0.19653944656485853,0.504885382562812,hard_atr_stop
hard_atr_stop,Hard ATR stop 3.0x + signal,135573,0.002166639707397918,-0.005336039045957696,46.91420858135469,0.08164557275270203,-0.06807232900846255,1.0599567097554727,17.41246413371394,0.053557977220487274,0.1611619975346419,0.4043746364385019,-0.3436008318995618,0.15587266458115806,0.9992841803865425,0.006793889268448261,0.1263524833490779,0.11561196759131742,0.8482660969597975,-0.1859242559893366,0.6218229406170014,hard_atr_stop
hard_atr_stop,Hard ATR stop 4.0x + signal,135573,0.0034795157976969184,0.0001990474483649649,50.11543596438819,0.08071170226491159,-0.0741101107754506,1.0941185372904911,20.239229050032087,0.07134397520760416,0.16255362694981812,0.5052799390690014,-0.31448055058521196,0.2268629175153798,0.9992841803865425,0.027178531712753085,0.23998014756278926,0.12973081704603096,0.9275261765147811,-0.189711202274124,0.6838331921937634,hard_atr_stop
fixed_pct_stop,Fixed 7% stop + signal,135573,0.0019412115297945244,-0.008823656263771351,45.230244960279705,0.07537066298892094,-0.05869868131593066,1.0603814751440737,17.0372640570025,0.02648433147881568,0.13934184158607701,0.25731569447273805,-0.28965921740342954,0.09143272469016243,0.9992841803865425,0.0183051813811288,0.1950699001453541,0.03688795867958117,0.3609187542435172,-0.19369302820243722,0.19044546425815553,fixed_pct_stop
fixed_pct_stop,Fixed 8% stop + signal,135573,0.0022297751958319885,-0.0049682186770177985,47.052141650623646,0.07534256326494942,-0.0627419416581446,1.0671204295434036,18.314347252033958,0.02871991440261512,0.14018960881117223,0.27213164196885603,-0.2917660288988853,0.09843474413729064,0.9992841803865425,0.018135830148240162,0.19384512868936588,0.04221823953510806,0.4002714039259183,-0.1919030591863845,0.21999774112044712,fixed_pct_stop
fixed_pct_stop,Fixed 10% stop + signal,135573,0.003069472702192877,-0.0006899505044603007,49.62049965701135,0.07549788195233464,-0.06826775438197187,1.0892471388786467,20.421699010864995,0.0361330347943245,0.14208258320110062,0.32093824479492117,-0.28786946222838283,0.12551881854581073,0.9992841803865425,0.024485872085085347,0.2334930787655758,0.05100332847921418,0.46344133273012517,-0.1913848465311742,0.2664961693866728,fixed_pct_stop
fixed_pct_stop,Fixed 12% stop + signal,135573,0.003664742039975734,0.0016686883738409328,51.087605939235694,0.07571029595263923,-0.07158479212495651,1.1046655408054524,22.03100174813569,0.04448638894844836,0.14386159297042614,0.3745627097895258,-0.28124093474053075,0.1581789258007229,0.9992841803865425,0.03426516610272001,0.2934332553761748,0.05751445879212458,0.5064445867411237,-0.19210316175965286,0.2993936084408802,fixed_pct_stop
fixed_pct_stop,Fixed 15% stop + signal,135573,0.004377635621838431,0.003436110637082047,52.284746962890836,0.07623575396575591,-0.07436203975867829,1.1233761132427362,23.74803980143539,0.04983730540185172,0.1464142661750288,0.40546747355930024,-0.27532434781071996,0.18101306985066892,0.9992841803865425,0.039205551535462346,0.3213597443228871,0.0633939233989933,0.5411740562696501,-0.19268143219276435,0.32900899000777667,fixed_pct_stop
