# 2026-09-03 隔夜持仓候选（当天 2 次扫描的日内演化）
# 扫描时刻（本地）：08:56:08 → 14:45:54   定版基准=最后一次
# 隔夜分 = 持续性30 + 规则等级25 + 日内演化20 + 收盘走强15 + 量能确认10 − 过热扣分
# ⚠️ 启发式加权，未经回测。只是把“早盘→收盘前的演化”量化排序，不是已验证 edge。
# ⚠️ 最后一次扫描时日线仍未收盘（约走完 96% 时段）：收盘走强只测到该时刻，量比已按时段外推。越贴近 16:00 ET 再跑，定版越准。

# —— A. 隔夜首选（隔夜分 ≥ 65，取前 12） ——
# 早盘就在、收盘前仍在、且买盘没有在下午撤退的票。
# TV代码 | 隔夜分 | 出现次数 | 规则(收盘前) | 日内变化 | 日内涨跌 | 观海买点分Δ | 量比(外推) | RSI | 段涨幅 | 板块
NYSE:NOW | 62 | 2/2 | 预警买入 | 维持 | +0.45% | +0 | 0.7x | 66 | 27.2% | 11 AI软件 / SAAS
NASDAQ:IRDM | 60 | 2/2 | 预警买入 | 维持 | -0.28% | +0 | 0.6x | 44 | - | 17 商业航天
HODL | 57 | 2/2 | 预警买入 | 维持 | +2.35% | +0 | 0.5x | 74 | 30.7% | 44 比特币概念
NYSE:SMR | 57 | 2/2 | 二进宫买入点 | 维持 | -1.38% | +0 | 0.7x | 53 | 14.7% | 08 核能
NYSE:CLS | 52 | 1/2 | 正式买入 + 预警买入 | 收盘前新增 | - | - | 1.5x | 49 | 14.7% | 06 服务器 / 数据中心硬件
NYSE:HPE | 51 | 1/2 | 正式买入 + 预警买入 | 收盘前新增 | - | - | 2.9x | 52 | 16.6% | 06 服务器 / 数据中心硬件
NASDAQ:CORZ | 49 | 1/2 | 正式买入 | 收盘前新增 | - | - | 0.9x | 44 | 14.3% | 44 比特币概念
IGV | 49 | 1/2 | 正式买入 + 预警买入 | 收盘前新增 | - | - | 0.8x | 58 | 4.7% | 11 AI软件 / SAAS
NYSE:NEE | 49 | 1/2 | 正式买入 | 收盘前新增 | - | - | 0.7x | 45 | 4.3% | 15 公用事业
NYSE:VRT | 49 | 1/2 | 正式买入 + 预警买入 | 收盘前新增 | - | - | 0.8x | 49 | 8.9% | 06 服务器 / 数据中心硬件
NASDAQ:VSAT | 49 | 1/2 | 正式买入 | 收盘前新增 | - | - | 0.7x | 46 | 11.2% | 17 商业航天
AMEX:XLU | 49 | 1/2 | 正式买入 + 预警买入 | 收盘前新增 | - | - | 0.9x | 43 | 3.0% | 07 数据中心电力
PAVE | 45 | 1/2 | 预警买入 | 收盘前新增 | - | - | 3.5x | 38 | - | 13 材料 / 电网
NYSE:DUK | 44 | 1/2 | 正式买入 | 收盘前新增 | - | - | 0.6x | 45 | 2.5% | 15 公用事业
NYSE:GEV | 44 | 1/2 | 正式买入 | 收盘前新增 | - | - | 0.7x | 44 | 8.5% | 07 数据中心电力
NYSE:IBM | 44 | 1/2 | 正式买入 + 预警买入 | 收盘前新增 | - | - | 0.5x | 49 | 4.0% | 06 服务器 / 数据中心硬件

# —— D. 日内消失（早盘有买入信号，收盘前那次已无）——
# 单看收盘那一次扫描是看不见这批的。盘中信号没撑到收盘 → 不建议隔夜。
# TV代码 | 早盘规则 | 早盘观海买点分 | 最后出现时刻 | 板块
NASDAQ:RUN | 正式买入 | 100 | 08:56:08 | 10 太阳能

# —— E. 日内降级（等级掉了，仍在场）——
# （无）
