# 2026-09-04 隔夜持仓候选（当天 2 次扫描的日内演化）
# 扫描时刻（本地）：10:15:30 → 14:22:55   定版基准=最后一次
# 隔夜分 = 持续性30 + 规则等级25 + 日内演化20 + 收盘走强15 + 量能确认10 − 过热扣分
# ⚠️ 启发式加权，未经回测。只是把“早盘→收盘前的演化”量化排序，不是已验证 edge。
# ⚠️ 最后一次扫描时日线仍未收盘（约走完 90% 时段）：收盘走强只测到该时刻，量比已按时段外推。越贴近 16:00 ET 再跑，定版越准。

# —— A. 隔夜首选（隔夜分 ≥ 65，取前 12） ——
# 早盘就在、收盘前仍在、且买盘没有在下午撤退的票。
# TV代码 | 隔夜分 | 出现次数 | 规则(收盘前) | 日内变化 | 日内涨跌 | 观海买点分Δ | 量比(外推) | RSI | 段涨幅 | 板块
NASDAQ:AAOI | 57 | 2/2 | 预警买入 | 维持 | -1.19% | +0 | 0.6x | 43 | - | 05 AI网络 / 光模块
NASDAQ:CLSK | 56 | 2/2 | 第一观察点 | 维持 | +0.40% | +0 | 0.6x | 51 | 18.1% | 44 比特币概念
NASDAQ:IREN | 56 | 2/2 | 第一观察点 | 维持 | +1.87% | +0 | 0.7x | 56 | 26.6% | 44 比特币概念
NASDAQ:WULF | 56 | 2/2 | 第一观察点 | 维持 | +0.83% | +0 | 0.5x | 49 | 15.9% | 44 比特币概念
NASDAQ:ASML | 54 | 2/2 | 预警买入 | 降级(正式买入→预警/二进宫) | -0.78% | -6 | 0.9x | 47 | - | 04 半导体设备 / EDA
NASDAQ:ASTS | 53 | 2/2 | 第一观察点 | 维持 | -0.34% | +0 | 0.9x | 47 | 18.0% | 17 商业航天
NASDAQ:TER | 49 | 2/2 | 预警买入 | 降级(正式买入→预警/二进宫) | -0.79% | -6 | 0.6x | 46 | - | 19 COWOS
NASDAQ:CIFR | 48 | 2/2 | 第一观察点 | 维持 | -0.17% | +0 | 0.6x | 51 | 26.4% | 44 比特币概念
NYSE:CLS | 48 | 2/2 | 第一观察点 | 维持 | -1.49% | +5 | 0.7x | 49 | 16.3% | 06 服务器 / 数据中心硬件
NASDAQ:CORZ | 48 | 2/2 | 第一观察点 | 维持 | -0.59% | +0 | 0.5x | 44 | 17.0% | 44 比特币概念
NYSE:COHR | 46 | 2/2 | 预警买入 | 降级(正式买入→预警/二进宫) | -1.47% | -6 | 0.7x | 45 | - | 05 AI网络 / 光模块
