symbol,group,signal,date,fwd_ret,bench_ret,excess_ret,period
MAGS,02 超巨,正式买入,2023-04-26,0.09571885743038999,0.014566264867470924,0.08115259256291907,test
MAGS,02 超巨,正式买入,2023-06-08,0.027869146574243997,0.020926013950486322,0.006943132623757675,test
MAGS,02 超巨,正式买入,2023-06-30,0.003966969892013061,0.020077589607004898,-0.016110619714991836,test
MAGS,02 超巨,正式买入,2023-07-25,0.005863139848662158,-0.016094363803247136,0.021957503651909294,test
MAGS,02 超巨,正式买入,2023-08-14,0.009067379995309377,0.006873350718635152,0.0021940292766742253,test
MAGS,02 超巨,正式买入,2023-09-19,-0.00736705788900982,-0.02353681441864086,0.01616975652963104,test
MAGS,02 超巨,正式买入,2023-10-16,-0.02215090024101174,-0.003096060171222881,-0.01905484006978886,test
MAGS,02 超巨,正式买入,2023-12-07,0.039433229516214974,0.04028542655978273,-0.0008521970435677595,test
MAGS,02 超巨,正式买入,2024-01-08,0.06021564581234129,0.035124278752159066,0.025091367060182224,test
MAGS,02 超巨,正式买入,2024-02-01,0.10132800802760333,0.037407987196092174,0.06392002083151116,test
MAGS,02 超巨,正式买入,2024-02-22,0.01179546344020288,0.016689597444581317,-0.0048941340043784365,test
MAGS,02 超巨,正式买入,2024-03-18,0.01676548113249976,0.011426091952846607,0.005339389179653153,test
MAGS,02 超巨,正式买入,2024-04-24,0.06258220206441023,0.035396972757230305,0.027185229307179926,test
MAGS,02 超巨,正式买入,2024-06-25,0.06498994322528273,0.036763701766482804,0.028226241458799928,test
MAGS,02 超巨,正式买入,2024-07-31,0.012903181457465607,0.014324385329621991,-0.0014212038721563847,test
MAGS,02 超巨,正式买入,2024-08-30,0.04166668090911485,0.008107449942519773,0.03355923096659508,test
MAGS,02 超巨,正式买入,2024-10-04,0.017894704718338872,0.010925355124107083,0.0069693495942317885,test
MAGS,02 超巨,正式买入,2024-10-24,0.07776633412393963,0.0309889035799622,0.04677743054397743,test
MAGS,02 超巨,正式买入,2024-11-18,0.07477000750470197,0.028105020106369283,0.04666498739833269,test
MAGS,02 超巨,正式买入,2024-12-23,-0.022022551743553942,-0.0032117122142463206,-0.01881083952930762,test
MAGS,02 超巨,正式买入,2025-01-15,-0.011169139806013306,0.019298796924416495,-0.0304679367304298,test
MAGS,02 超巨,正式买入,2025-02-06,-0.09563333475587177,-0.03508051734119377,-0.060552817414677995,test
MAGS,02 超巨,正式买入,2025-03-24,-0.08205439756858512,-0.06992059199676959,-0.012133805571815537,test
MAGS,02 超巨,正式买入,2025-04-11,0.070887210475026,0.061467594063286946,0.009419616411739051,test
MAGS,02 超巨,正式买入,2025-06-06,0.054648975833422764,0.02632099027027457,0.028327985563148195,test
MAGS,02 超巨,正式买入,2025-08-04,0.03298790668526008,0.022402862986673933,0.01058504369858615,test
MAGS,02 超巨,正式买入,2025-08-22,0.05216517071136617,0.01875064020659134,0.03341453050477483,test
MAGS,02 超巨,正式买入,2025-10-06,0.007649938729052064,0.008397752820016757,-0.0007478140909646935,test
MAGS,02 超巨,正式买入,2025-11-05,-0.023228284951749334,-0.003778147958950706,-0.019450136992798628,test
MAGS,02 超巨,正式买入,2025-12-16,-0.012881973978919992,0.015776248839525664,-0.028658222818445656,test
MAGS,02 超巨,正式买入,2026-01-09,-0.003314768895567921,-0.0030256841513579547,-0.00028908474420996644,test
MAGS,02 超巨,正式买入,2026-02-20,-0.026357791555917554,-0.03389756083353013,0.0075397692776125735,test
MAGS,02 超巨,正式买入,2026-04-01,0.13224270783696657,0.0854191327947813,0.04682357504218526,test
MAGS,02 超巨,正式买入,2026-05-20,-0.07583820413115971,-0.021342337030986536,-0.05449586710017318,test
MAGS,02 超巨,正式买入,2026-06-15,-0.0057040658532845345,-0.0094325807877087,0.0037285149344241653,test
MAGS,02 超巨,正式买入,2026-07-31,0.014099459037056228,0.02084246372761922,-0.0067430046905629926,test
MAGS,02 超巨,回调买入点,2024-08-13,-0.015739019715041103,0.018522691073523667,-0.03426171078856477,test
